check,mean,std,min,max
Single split (original),0.993,,,
"Multi-seed (5 seeds, same split)",0.9860125097323458,0.009922967018052115,0.9679460241218294,0.9950949636830008
GroupKFold (5 subject splits),0.9343256481449677,0.03515888294772711,0.8973084171259056,0.9886895937324126
