class,Full,Acc-only,Gyro-only
LAYING,1.0,0.9984871406959153,0.6745762711864407
SITTING,0.9680672268907563,0.9463087248322147,0.7900826446280992
STANDING,0.9715189873417721,0.9510268562401264,0.7878787878787878
WALKING,0.9897510980966325,0.9883040935672515,0.9130434782608695
WALKING_DOWNSTAIRS,0.8904109589041096,0.8796296296296297,0.8427672955974843
WALKING_UPSTAIRS,0.9290540540540541,0.9228187919463087,0.8775137111517367
