fold,global,per_subject
0,0.8855769911494605,0.980642056994633
1,0.907708118203801,0.9409025567499261
2,0.9879819834643161,0.9900365893695148
3,0.9711404356003094,0.9854303455998371
4,0.9404693247277498,0.9682835631221126
