class,Decision Tree,SVM,Feedforward NN
LAYING,0.996969696969697,1.0,0.9984871406959153
SITTING,0.8852459016393442,0.9680672268907563,0.972972972972973
STANDING,0.8768,0.9715189873417721,0.9763779527559056
WALKING,0.8558823529411764,0.9897510980966325,0.9955817378497791
WALKING_DOWNSTAIRS,0.7963386727688787,0.8904109589041096,0.9525862068965517
WALKING_UPSTAIRS,0.8067796610169492,0.9290540540540541,0.9632224168126094
